ProjectName	StationId	StationCode	LakeName	Name	FullStationName	StationTypeId	StationType	SamplePointId	Lat	Lon	PROJECT_ID	PROJECTS_STATION_ID
Ytre Oslofjord	61748	SF-2	Ytre Oslofjord	Sandefjord-Trangsholmen2 (Sandf-1)	SF-2 -Sandefjord-Trangsholmen2 (Sandf-1)	0	Marin	no_info	59.1	10.2333	1178	6159
Ytre Oslofjord	42266	I-2	Ytre Oslofjord	Singlefjorden	I-2 -Singlefjorden	0	Marin	no_info	59.085217	11.159233	1178	23846
Ytre Oslofjord	42268	ID-1	Ytre Oslofjord	Skysskaffern	ID-1 -Skysskaffern	0	Marin	no_info	59.10158	11.36917	1178	23845
Ytre Oslofjord	42264	D-4	Ytre Oslofjord	Solbergbukta	D-4 -Solbergbukta	0	Marin	no_info	59.57179	10.41874	1178	6150
Ytre Oslofjord	70775	BO-1	Ytre Oslofjord	Bolærne	BO-1 -Bolærne	0	Marin	no_info	59.189933	10.536233	1178	6149
Ytre Oslofjord	31650	OF-5	Ytre Oslofjord	Breiangen	OF-5 -Breiangen	0	Marin	no_info	59.4867	10.4583	1178	6147
Ytre Oslofjord	31651	OF-7	Ytre Oslofjord	Filtvedt	OF-7 -Filtvedt	0	Marin	no_info	59.59	10.64	1178	51716
Ytre Oslofjord	31659	BC-1	Ytre Oslofjord	Frierfjorden	BC-1 -Frierfjorden	0	Marin	no_info	59.10437	9.618	1178	8004
Ytre Oslofjord	31661	GI-1	Ytre Oslofjord	Håøyfjorden	GI-1 -Håøyfjorden	0	Marin	no_info	59.02265	9.79675	1178	8005
Ytre Oslofjord	31661	OF-4	Ytre Oslofjord	Bastø	OF-4 -Bastø	0	Marin	no_info	59.358665	10.590567	1178	8013
DCS4COP	26173	221-3-2	Floen	Ulviksjøen	221-3-2 - Floen	1	Innsjo	no_info	59.99142	11.5333	12569	no_info
DCS4COP	no_info	no_info	Steinsbruvannet	v/Demning Badedammen (OBS 2 prøver?)	stn1_KAS	1	Innsjo	no_info	59.97573	10.883	12569	no_info
